county,ward,office,district,total.votes,party,candidate,votes
Adams,,Supreme Court,,5439,NP,Chris Taylor,2634
Adams,,Supreme Court,,5439,NP,Maria S. Lazar,2792
Adams,,Supreme Court,,5439,,Scattering,13
Ashland,,Supreme Court,,4327,NP,Chris Taylor,2732
Ashland,,Supreme Court,,4327,NP,Maria S. Lazar,1593
Ashland,,Supreme Court,,4327,,Scattering,2
Barron,,Supreme Court,,9918,NP,Chris Taylor,4783
Barron,,Supreme Court,,9918,NP,Maria S. Lazar,5128
Barron,,Supreme Court,,9918,,Scattering,7
Bayfield,,Supreme Court,,6054,NP,Chris Taylor,4133
Bayfield,,Supreme Court,,6054,NP,Maria S. Lazar,1917
Bayfield,,Supreme Court,,6054,,Scattering,4
Brown,,Supreme Court,,62538,NP,Chris Taylor,35599
Brown,,Supreme Court,,62538,NP,Maria S. Lazar,26887
Brown,,Supreme Court,,62538,,Scattering,52
Buffalo,,Supreme Court,,3116,NP,Chris Taylor,1496
Buffalo,,Supreme Court,,3116,NP,Maria S. Lazar,1575
Buffalo,,Supreme Court,,3116,,Scattering,45
Burnett,,Supreme Court,,4408,NP,Chris Taylor,2109
Burnett,,Supreme Court,,4408,NP,Maria S. Lazar,2299
Burnett,,Supreme Court,,4408,,Scattering,0
Calumet,,Supreme Court,,14270,NP,Chris Taylor,6967
Calumet,,Supreme Court,,14270,NP,Maria S. Lazar,7291
Calumet,,Supreme Court,,14270,,Scattering,12
Chippewa,,Supreme Court,,14516,NP,Chris Taylor,7632
Chippewa,,Supreme Court,,14516,NP,Maria S. Lazar,6868
Chippewa,,Supreme Court,,14516,,Scattering,16
Clark,,Supreme Court,,6159,NP,Chris Taylor,2665
Clark,,Supreme Court,,6159,NP,Maria S. Lazar,3487
Clark,,Supreme Court,,6159,,Scattering,7
Columbia,,Supreme Court,,16345,NP,Chris Taylor,9688
Columbia,,Supreme Court,,16345,NP,Maria S. Lazar,6657
Columbia,,Supreme Court,,16345,,Scattering,0
Crawford,,Supreme Court,,4358,NP,Chris Taylor,2643
Crawford,,Supreme Court,,4358,NP,Maria S. Lazar,1707
Crawford,,Supreme Court,,4358,,Scattering,8
Dane,,Supreme Court,,198556,NP,Chris Taylor,166419
Dane,,Supreme Court,,198556,NP,Maria S. Lazar,32008
Dane,,Supreme Court,,198556,,Scattering,129
Dodge,,Supreme Court,,21998,NP,Chris Taylor,9453
Dodge,,Supreme Court,,21998,NP,Maria S. Lazar,12545
Dodge,,Supreme Court,,21998,,Scattering,0
Door,,Supreme Court,,11727,NP,Chris Taylor,7077
Door,,Supreme Court,,11727,NP,Maria S. Lazar,4643
Door,,Supreme Court,,11727,,Scattering,7
Douglas,,Supreme Court,,10026,NP,Chris Taylor,6420
Douglas,,Supreme Court,,10026,NP,Maria S. Lazar,3597
Douglas,,Supreme Court,,10026,,Scattering,9
Dunn,,Supreme Court,,10356,NP,Chris Taylor,5966
Dunn,,Supreme Court,,10356,NP,Maria S. Lazar,4390
Dunn,,Supreme Court,,10356,,Scattering,0
Eau Claire,,Supreme Court,,27813,NP,Chris Taylor,18893
Eau Claire,,Supreme Court,,27813,NP,Maria S. Lazar,8887
Eau Claire,,Supreme Court,,27813,,Scattering,33
Florence,,Supreme Court,,1193,NP,Chris Taylor,464
Florence,,Supreme Court,,1193,NP,Maria S. Lazar,729
Florence,,Supreme Court,,1193,,Scattering,0
Fond Du Lac,,Supreme Court,,25277,NP,Chris Taylor,11734
Fond Du Lac,,Supreme Court,,25277,NP,Maria S. Lazar,13543
Fond Du Lac,,Supreme Court,,25277,,Scattering,0
Forest,,Supreme Court,,2564,NP,Chris Taylor,1177
Forest,,Supreme Court,,2564,NP,Maria S. Lazar,1383
Forest,,Supreme Court,,2564,,Scattering,4
Grant,,Supreme Court,,9993,NP,Chris Taylor,5976
Grant,,Supreme Court,,9993,NP,Maria S. Lazar,4011
Grant,,Supreme Court,,9993,,Scattering,6
Green,,Supreme Court,,12423,NP,Chris Taylor,7699
Green,,Supreme Court,,12423,NP,Maria S. Lazar,4710
Green,,Supreme Court,,12423,,Scattering,14
Green Lake,,Supreme Court,,4672,NP,Chris Taylor,2037
Green Lake,,Supreme Court,,4672,NP,Maria S. Lazar,2635
Green Lake,,Supreme Court,,4672,,Scattering,0
Iowa,,Supreme Court,,7429,NP,Chris Taylor,4967
Iowa,,Supreme Court,,7429,NP,Maria S. Lazar,2447
Iowa,,Supreme Court,,7429,,Scattering,15
Iron,,Supreme Court,,1735,NP,Chris Taylor,916
Iron,,Supreme Court,,1735,NP,Maria S. Lazar,819
Iron,,Supreme Court,,1735,,Scattering,0
Jackson,,Supreme Court,,4834,NP,Chris Taylor,2568
Jackson,,Supreme Court,,4834,NP,Maria S. Lazar,2266
Jackson,,Supreme Court,,4834,,Scattering,0
Jefferson,,Supreme Court,,22633,NP,Chris Taylor,11761
Jefferson,,Supreme Court,,22633,NP,Maria S. Lazar,10853
Jefferson,,Supreme Court,,22633,,Scattering,19
Juneau,,Supreme Court,,5703,NP,Chris Taylor,2737
Juneau,,Supreme Court,,5703,NP,Maria S. Lazar,2961
Juneau,,Supreme Court,,5703,,Scattering,5
Kenosha,,Supreme Court,,32659,NP,Chris Taylor,19130
Kenosha,,Supreme Court,,32659,NP,Maria S. Lazar,13506
Kenosha,,Supreme Court,,32659,,Scattering,23
Kewaunee,,Supreme Court,,5620,NP,Chris Taylor,2403
Kewaunee,,Supreme Court,,5620,NP,Maria S. Lazar,3215
Kewaunee,,Supreme Court,,5620,,Scattering,2
La Crosse,,Supreme Court,,29141,NP,Chris Taylor,20130
La Crosse,,Supreme Court,,29141,NP,Maria S. Lazar,9011
La Crosse,,Supreme Court,,29141,,Scattering,0
Lafayette,,Supreme Court,,4394,NP,Chris Taylor,2440
Lafayette,,Supreme Court,,4394,NP,Maria S. Lazar,1954
Lafayette,,Supreme Court,,4394,,Scattering,0
Langlade,,Supreme Court,,4995,NP,Chris Taylor,2129
Langlade,,Supreme Court,,4995,NP,Maria S. Lazar,2866
Langlade,,Supreme Court,,4995,,Scattering,0
Lincoln,,Supreme Court,,6968,NP,Chris Taylor,3379
Lincoln,,Supreme Court,,6968,NP,Maria S. Lazar,3582
Lincoln,,Supreme Court,,6968,,Scattering,7
Manitowoc,,Supreme Court,,18370,NP,Chris Taylor,9096
Manitowoc,,Supreme Court,,18370,NP,Maria S. Lazar,9264
Manitowoc,,Supreme Court,,18370,,Scattering,10
Marathon,,Supreme Court,,32672,NP,Chris Taylor,16679
Marathon,,Supreme Court,,32672,NP,Maria S. Lazar,15977
Marathon,,Supreme Court,,32672,,Scattering,16
Marinette,,Supreme Court,,10040,NP,Chris Taylor,4442
Marinette,,Supreme Court,,10040,NP,Maria S. Lazar,5571
Marinette,,Supreme Court,,10040,,Scattering,27
Marquette,,Supreme Court,,4649,NP,Chris Taylor,2118
Marquette,,Supreme Court,,4649,NP,Maria S. Lazar,2527
Marquette,,Supreme Court,,4649,,Scattering,4
Menominee,,Supreme Court,,674,NP,Chris Taylor,484
Menominee,,Supreme Court,,674,NP,Maria S. Lazar,188
Menominee,,Supreme Court,,674,,Scattering,2
Milwaukee,,Supreme Court,,193291,NP,Chris Taylor,146415
Milwaukee,,Supreme Court,,193291,NP,Maria S. Lazar,46712
Milwaukee,,Supreme Court,,193291,,Scattering,164
Monroe,,Supreme Court,,8930,NP,Chris Taylor,4479
Monroe,,Supreme Court,,8930,NP,Maria S. Lazar,4437
Monroe,,Supreme Court,,8930,,Scattering,14
Oconto,,Supreme Court,,10611,NP,Chris Taylor,4432
Oconto,,Supreme Court,,10611,NP,Maria S. Lazar,6163
Oconto,,Supreme Court,,10611,,Scattering,16
Oneida,,Supreme Court,,10477,NP,Chris Taylor,5685
Oneida,,Supreme Court,,10477,NP,Maria S. Lazar,4780
Oneida,,Supreme Court,,10477,,Scattering,12
