district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,139151,93.49,0.74,2.47,0.36,1.56,0.0,0.1
2,District 2,139854,89.03,1.48,2.81,2.78,1.3,0.04,0.2
3,District 3,103966,49.26,8.75,35.4,0.42,3.41,0.04,0.22
4,District 4,125168,30.63,56.82,4.64,0.34,4.67,0.01,0.48
5,District 5,134699,85.5,3.29,4.83,0.23,3.92,0.0,0.1
6,District 6,123676,34.02,52.7,5.87,0.33,3.86,0.0,0.42
7,District 7,141079,80.86,5.02,8.38,0.45,2.34,0.03,0.32
8,District 8,135833,87.33,4.48,2.92,0.12,3.48,0.01,0.15
9,District 9,137236,89.47,1.27,4.08,0.1,3.5,0.11,0.1
10,District 10,140593,94.98,0.69,1.71,0.15,0.99,0.02,0.12
11,District 11,137494,89.69,1.22,6.56,0.11,0.77,0.01,0.11
12,District 12,145957,92.47,0.29,1.27,3.85,0.24,0.01,0.1
13,District 13,138681,93.73,0.76,3.52,0.12,0.5,0.02,0.05
14,District 14,140678,93.43,1.44,2.96,0.36,0.45,0.03,0.1
15,District 15,135494,89.28,3.62,4.43,0.07,0.68,0.01,0.09
16,District 16,135386,80.68,6.88,5.21,0.1,4.49,0.05,0.21
17,District 17,137648,95.05,1.21,2.06,0.19,0.47,0.03,0.04
18,District 18,139951,88.64,3.37,3.64,0.32,2.16,0.04,0.35
19,District 19,135559,89.85,1.23,4.0,0.33,2.85,0.02,0.04
20,District 20,142460,94.07,1.04,2.75,0.16,0.57,0.04,0.26
21,District 21,139854,86.97,3.32,6.69,0.09,1.11,0.1,0.17
22,District 22,125431,66.81,13.45,15.03,0.18,1.25,0.01,0.38
23,District 23,135521,93.68,1.14,1.8,0.7,1.04,0.01,0.13
24,District 24,141430,93.32,1.01,2.55,0.31,1.33,0.01,0.22
25,District 25,144605,92.73,0.62,1.58,2.22,0.39,0.02,0.08
26,District 26,142682,79.81,4.79,5.38,0.22,6.04,0.01,0.47
27,District 27,136622,90.3,1.5,3.58,0.11,2.39,0.03,0.19
28,District 28,136557,86.0,2.25,7.44,0.23,2.62,0.05,0.12
29,District 29,138218,91.21,0.52,1.62,1.26,3.27,0.05,0.21
30,District 30,131869,84.8,1.82,7.02,0.93,2.53,0.03,0.25
31,District 31,138919,94.22,0.68,1.73,0.19,1.73,0.08,0.12
32,District 32,139344,92.26,1.29,2.01,0.17,2.75,0.03,0.15
33,District 33,141312,90.19,1.16,5.05,0.12,1.64,0.0,0.1
ZZZ,District ZZZ,0,0,0,0,0,0,0,0
