district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,178107,6644,171443,163457,899,398,2848,10,176,1417,1363,828,32,1791,3679,2321,139758,3511,136235,131437,615,357,1942,4,118,519,952,223,37,1345,2164,1152
2,180157,5591,174579,157494,1701,8086,1757,11,392,1064,3282,605,123,11485,2366,2883,139312,3159,136152,124693,1182,6003,1213,11,225,289,1995,366,101,8090,1592,1578
3,149642,66985,82479,57236,13120,570,6310,37,536,2736,788,1119,26,1377,7404,15886,104611,37371,67153,51035,9022,521,3911,37,221,1250,551,594,23,1086,4495,10301
4,176905,9973,166901,43962,106905,600,9468,18,905,3293,504,727,432,1539,10203,110601,125168,5811,119323,38338,71118,427,5847,8,603,1747,465,446,248,1141,6302,73115
5,170952,12126,158823,140098,6186,395,6446,8,184,1762,1291,2368,78,1770,8812,8023,134804,7396,127403,115021,4472,287,4443,4,157,768,1001,1204,65,1364,5634,5300
6,167167,11785,155381,47924,92936,505,6899,11,1062,4250,679,666,514,1691,7554,97700,123676,7259,116420,42070,65173,412,4770,4,522,2190,498,393,419,1325,5148,67766
7,166250,18323,148141,128689,8432,695,3934,47,652,2229,1501,1855,67,2264,5824,10730,139728,11771,128084,112715,7195,635,3296,39,457,1142,1240,1307,36,1909,4619,8378
8,176201,6661,169525,151133,7543,187,5975,35,449,1608,599,1899,131,917,7864,9317,136215,4212,132003,118995,6039,178,4554,21,327,794,470,592,56,704,5154,6902
9,174456,10711,163748,148133,2986,212,7471,219,502,1909,1116,1163,22,1377,8631,4910,137394,5873,131526,121902,2215,189,4880,157,164,670,802,528,12,1022,5408,2896
10,178918,6299,172608,166388,1126,158,1428,53,581,946,978,933,27,1156,2350,2113,137209,2597,134618,130906,914,89,830,17,154,354,741,568,23,850,1396,1306
11,174635,14686,159962,153736,1821,154,1140,41,189,1051,887,834,50,1084,1977,2923,138316,8723,129570,125259,1314,154,956,15,146,455,696,434,49,894,1390,1822
12,179833,3382,176440,166982,692,3532,536,30,194,1194,2255,991,29,5810,1533,1907,147652,1776,145864,139513,505,2483,427,27,161,527,1496,716,24,4003,1138,1059
13,175335,10050,165293,157469,2995,405,738,52,355,1369,936,934,47,1386,1667,4448,139933,5632,134306,128702,2496,359,514,46,303,759,633,452,57,1053,963,3311
14,173412,7670,165783,156571,2559,605,1701,31,358,1639,1343,887,108,2064,2580,4257,135469,4145,131360,125511,1766,438,1114,46,184,816,945,484,68,1453,1592,2633
15,174526,14200,160326,144822,8172,136,1792,8,178,2931,1052,1214,17,1211,3006,11124,136460,7752,128705,118866,5608,111,1240,13,163,1139,812,737,12,940,1976,6758
16,174926,10505,164359,144294,8239,123,6614,82,257,2496,767,1165,306,1176,7790,11098,137114,5536,131530,117983,6006,93,5012,58,146,920,553,525,247,860,5540,7200
17,175702,4704,170995,165103,1819,133,1042,47,180,991,823,835,15,969,1868,2852,136479,2400,134081,130071,1431,138,858,49,84,399,568,461,12,717,1308,1864
18,173861,9806,164024,145039,5522,677,7104,132,616,1914,1618,1061,288,2582,8179,7713,137807,5940,131860,119887,3570,625,4813,60,252,814,1088,629,111,1815,5450,4503
19,179368,6775,172635,165650,1455,277,2292,9,224,499,1257,996,28,1562,3277,2001,140656,3746,136922,132196,1290,205,1520,8,98,230,896,496,37,1144,2007,1551
20,176167,8455,167701,159299,2540,208,1800,25,383,1813,907,685,9,1114,2500,4363,139021,4605,134407,129151,1844,157,1208,43,262,677,772,288,4,928,1501,2524
21,172610,24265,148352,124514,13438,321,3801,221,358,3356,948,1269,97,1364,5059,16919,130790,14420,116348,100550,9517,263,2880,189,201,1395,556,688,90,910,3569,11024
22,170274,26858,143420,114055,18463,338,2867,33,1103,4539,1007,909,178,1527,3772,23156,131205,16277,114979,95248,13327,202,2181,11,533,2171,779,510,137,1121,2694,15607
23,177996,4680,173320,167265,1668,319,636,58,101,1065,1567,530,87,1977,1161,2825,136975,2169,134803,130914,1286,239,472,42,61,394,1055,285,45,1346,741,1717
24,178754,5956,172782,162001,2083,1487,2858,9,407,1573,1515,745,31,3040,3614,3687,142583,3409,139149,131826,1841,1145,1946,13,294,648,1067,273,30,2248,2227,2519
25,179608,3610,175998,161812,868,6476,737,35,289,1287,3721,668,105,10302,1405,2260,146258,2233,144025,133945,646,4863,535,39,156,755,2600,409,77,7540,944,1478
26,167654,11962,155738,129174,10678,193,7260,34,772,3444,920,2707,487,1620,9975,14614,142642,7521,135143,115907,7267,199,6252,25,577,1980,758,1854,260,1250,8111,9512
27,175745,11593,164137,142541,6696,313,9078,30,539,1910,586,2502,30,930,11576,8561,135939,6849,129094,114668,4624,261,6320,21,391,989,440,1396,43,744,7722,5609
28,174014,11859,162119,150882,3163,173,3889,20,384,2032,582,1005,31,791,4897,5220,138412,7468,130923,123723,2169,144,2915,16,157,868,429,470,26,601,3385,3065
29,174471,4591,169901,156288,1054,362,7251,21,521,1461,1325,1676,5,1685,8911,2522,136033,2294,133765,125749,691,196,4584,38,320,598,994,607,7,1188,5187,1292
30,170983,19313,151677,130255,4677,3130,5872,84,584,2795,2598,1459,305,6021,7328,7809,132613,9922,122696,108777,3506,2381,3932,86,360,1016,1781,704,239,4393,4629,4773
31,177237,4185,173054,161250,1654,452,5653,150,513,1194,1024,1159,36,1510,6820,2862,141417,2401,139029,131424,1251,390,3800,114,231,464,749,614,17,1149,4432,1729
32,177072,4928,172134,159936,2435,332,5286,47,291,1658,803,1296,35,1178,6587,4121,138938,2906,136010,128144,1791,240,3776,20,177,585,617,615,49,910,4391,2418
33,179577,6136,173470,165902,1402,260,2373,21,206,1092,774,1471,19,1053,3848,2513,142340,3837,138520,133807,852,190,1653,28,127,644,536,670,21,748,2323,1529
ZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
