county_name,county_norm,population_base_2020,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Adams County,ADAMS,20651,20687,20847,21276,21722,21565,21752,1101,5.3315,187,0.8671
Ashland County,ASHLAND,16034,16028,16069,16076,16134,16201,16203,169,1.0540,2,0.0123
Barron County,BARRON,46707,46719,46686,46776,46886,46711,46484,-223,-0.4774,-227,-0.4860
Bayfield County,BAYFIELD,16220,16240,16341,16672,16792,16785,16787,567,3.4957,2,0.0119
Brown County,BROWN,268736,268952,268971,270667,272238,274251,275803,7067,2.6297,1552,0.5659
Buffalo County,BUFFALO,13323,13333,13350,13402,13450,13398,13318,-5,-0.0375,-80,-0.5971
Burnett County,BURNETT,16528,16580,16756,16972,17106,17188,17223,695,4.2050,35,0.2036
Calumet County,CALUMET,52440,52475,52576,52795,53414,53764,53982,1542,2.9405,218,0.4055
Chippewa County,CHIPPEWA,66295,66334,66580,66774,66949,67294,67614,1319,1.9896,320,0.4755
Clark County,CLARK,34630,34640,34746,34772,34880,34975,35052,422,1.2186,77,0.2202
Columbia County,COLUMBIA,58494,58534,58455,58383,57941,58005,58132,-362,-0.6189,127,0.2189
Crawford County,CRAWFORD,16110,16082,16098,16036,15948,15919,15910,-200,-1.2415,-9,-0.0565
Dane County,DANE,561507,562615,561805,570754,579299,586325,590375,28868,5.1412,4050,0.6907
Dodge County,DODGE,89384,89343,88707,88642,88666,88877,89097,-287,-0.3211,220,0.2475
Door County,DOOR,30073,30128,30447,30629,30581,30581,30616,543,1.8056,35,0.1145
Douglas County,DOUGLAS,44294,44351,44012,44217,44102,43918,43990,-304,-0.6863,72,0.1639
Dunn County,DUNN,45449,45462,44534,45648,45768,46006,46223,774,1.7030,217,0.4717
Eau Claire County,EAU CLAIRE,105706,105898,106035,106836,107975,108611,109033,3327,3.1474,422,0.3885
Florence County,FLORENCE,4559,4565,4591,4706,4689,4682,4748,189,4.1456,66,1.4097
Fond du Lac County,FOND DU LAC,104165,104159,104128,104103,104349,104721,104669,504,0.4838,-52,-0.0497
Forest County,FOREST,9184,9173,9420,9344,9395,9514,9574,390,4.2465,60,0.6306
Grant County,GRANT,51950,51989,51277,51326,51907,52404,52446,496,0.9548,42,0.0801
Green County,GREEN,37090,37039,37087,36888,37002,37237,37227,137,0.3694,-10,-0.0269
Green Lake County,GREEN LAKE,19013,19016,19251,19224,19406,19332,19305,292,1.5358,-27,-0.1397
Iowa County,IOWA,23713,23716,23809,23950,23913,23975,23951,238,1.0037,-24,-0.1001
Iron County,IRON,6137,6144,6179,6222,6249,6196,6127,-10,-0.1629,-69,-1.1136
Jackson County,JACKSON,21139,21096,20910,20904,20931,21033,20999,-140,-0.6623,-34,-0.1617
Jefferson County,JEFFERSON,86171,86219,85830,85883,86086,86540,86505,334,0.3876,-35,-0.0404
Juneau County,JUNEAU,26720,26779,26766,26743,26606,26646,26649,-71,-0.2657,3,0.0113
Kenosha County,KENOSHA,169150,169186,168464,167870,167852,168448,168448,-702,-0.4150,0,0.0000
Kewaunee County,KEWAUNEE,20559,20552,20580,20708,20772,20769,20758,199,0.9679,-11,-0.0530
La Crosse County,LA CROSSE,120796,120955,119368,120346,120719,120963,121339,543,0.4495,376,0.3108
Lafayette County,LAFAYETTE,16611,16619,16834,16957,17067,17347,17478,867,5.2194,131,0.7552
Langlade County,LANGLADE,19493,19465,19470,19510,19423,19502,19534,41,0.2103,32,0.1641
Lincoln County,LINCOLN,28412,28423,28476,28341,28403,28395,28403,-9,-0.0317,8,0.0282
Manitowoc County,MANITOWOC,81364,81401,81544,81400,81600,81883,81710,346,0.4252,-173,-0.2113
Marathon County,MARATHON,138063,138119,137832,138207,138768,139094,139432,1369,0.9916,338,0.2430
Marinette County,MARINETTE,41874,41887,41860,41971,42109,42390,42574,700,1.6717,184,0.4341
Marquette County,MARQUETTE,15595,15594,15783,15797,15908,15838,15927,332,2.1289,89,0.5619
Menominee County,MENOMINEE,4250,4258,4294,4192,4200,4230,4199,-51,-1.2000,-31,-0.7329
Milwaukee County,MILWAUKEE,939496,938606,924701,921471,921609,924323,924216,-15280,-1.6264,-107,-0.0116
Monroe County,MONROE,46276,46307,46174,46043,46246,46505,46572,296,0.6396,67,0.1441
Oconto County,OCONTO,38967,39077,39417,39639,39745,40006,40195,1228,3.1514,189,0.4724
Oneida County,ONEIDA,37840,37864,38298,38225,38156,38175,38131,291,0.7690,-44,-0.1153
Outagamie County,OUTAGAMIE,190700,190959,191386,192510,193628,194785,195894,5194,2.7236,1109,0.5693
Ozaukee County,OZAUKEE,91504,91631,92624,93080,93478,93665,94346,2842,3.1059,681,0.7271
Pepin County,PEPIN,7326,7349,7383,7402,7478,7541,7513,187,2.5526,-28,-0.3713
Pierce County,PIERCE,42203,42221,41602,42557,43070,43306,43519,1316,3.1183,213,0.4918
Polk County,POLK,44974,45028,45459,45590,45775,45772,45803,829,1.8433,31,0.0677
Portage County,PORTAGE,70380,70423,69465,70764,71361,71758,71943,1563,2.2208,185,0.2578
Price County,PRICE,14053,14032,14061,14167,14094,14112,13988,-65,-0.4625,-124,-0.8787
Racine County,RACINE,198221,198061,196863,196642,197390,198441,198919,698,0.3521,478,0.2409
Richland County,RICHLAND,17307,17281,17203,17167,17270,17129,17036,-271,-1.5658,-93,-0.5429
Rock County,ROCK,163684,163763,164150,163954,164619,165665,166472,2788,1.7033,807,0.4871
Rusk County,RUSK,14181,14169,14099,14160,14233,14126,14146,-35,-0.2468,20,0.1416
Sauk County,SAUK,65774,65796,65713,65944,66216,66553,66652,878,1.3349,99,0.1488
Sawyer County,SAWYER,18084,18122,18223,18556,18587,18791,18846,762,4.2137,55,0.2927
Shawano County,SHAWANO,40874,40859,40809,40976,41140,41406,41560,686,1.6783,154,0.3719
Sheboygan County,SHEBOYGAN,118034,118040,117681,117787,117891,118091,118047,13,0.0110,-44,-0.0373
St. Croix County,ST CROIX,93534,93875,95016,96116,96976,97654,98276,4742,5.0698,622,0.6369
Taylor County,TAYLOR,19917,19942,19953,19976,20117,20097,20118,201,1.0092,21,0.1045
Trempealeau County,TREMPEALEAU,30770,30825,30741,30923,31006,30928,31171,401,1.3032,243,0.7857
Vernon County,VERNON,30710,30695,30914,31080,31115,31365,31443,733,2.3868,78,0.2487
Vilas County,VILAS,23051,23093,23489,23722,23822,23753,23761,710,3.0801,8,0.0337
Walworth County,WALWORTH,105222,105324,105273,105843,106192,106123,106127,905,0.8601,4,0.0038
Washburn County,WASHBURN,16624,16618,16755,16905,16996,17024,17087,463,2.7851,63,0.3701
Washington County,WASHINGTON,136770,136806,137395,138062,138527,138744,139238,2468,1.8045,494,0.3561
Waukesha County,WAUKESHA,406989,407506,409199,410846,413581,415766,417210,10221,2.5114,1444,0.3473
Waupaca County,WAUPACA,51824,51799,51886,51660,51432,51429,51461,-363,-0.7004,32,0.0622
Waushara County,WAUSHARA,24506,24532,24755,24923,25045,25073,25223,717,2.9258,150,0.5983
Winnebago County,WINNEBAGO,171740,171833,170651,170984,172118,173294,174218,2478,1.4429,924,0.5332
Wood County,WOOD,74199,74180,74022,73879,74232,74255,74060,-139,-0.1873,-195,-0.2626
Wisconsin,WISCONSIN,5894323,5897371,5882128,5903472,5930350,5957168,5972787,78464,1.3312,15619,0.2622
